日期,城市,门店编号,产品名称,产品类别,单价(元),销量(杯),折扣,实付金额(元),会员占比(%),天气,季节,是否节假日,营销活动
2025-01-01,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,298,0,4768,73,晴,冬季,是,元旦促销
2025-01-01,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,325,0,5200,69,多云,冬季,是,元旦促销
2025-01-01,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,205,0,3690,56,阴,冬季,是,元旦促销
2025-01-01,深圳,SZ-001,芝芝葡萄,鲜果茶,20,283,0,5660,63,晴,冬季,是,元旦促销
2025-01-01,成都,CD-001,桃桃乌龙,鲜果茶,18,356,0,6408,72,多云,冬季,是,元旦促销
2025-01-01,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,268,0,4288,76,晴,冬季,是,元旦促销
2025-01-01,武汉,WH-001,桂花弄,原叶鲜奶茶,16,234,0,3744,67,阴,冬季,是,元旦促销
2025-01-01,南京,NJ-001,青柑普洱,现萃茶,15,195,0,2925,59,多云,冬季,是,元旦促销
2025-01-01,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,312,0,4992,71,晴,冬季,是,元旦促销
2025-01-01,重庆,CQ-001,满杯橙意,鲜果茶,18,278,0,5004,65,阴,冬季,是,元旦促销
2025-01-01,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,367,0,6606,70,晴,冬季,是,元旦促销
2025-01-01,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,182,0,2912,72,多云,冬季,是,元旦促销
2025-01-01,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,208,0,4160,57,晴,冬季,是,元旦促销
2025-01-01,天津,TJ-001,桃桃乌龙,鲜果茶,18,193,0,3474,64,阴,冬季,是,元旦促销
2025-01-01,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,171,0,2736,71,晴,冬季,是,元旦促销
2025-02-14,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,325,0.1,4680,76,晴,冬季,是,情人节限定
2025-02-14,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,356,0.1,5127,71,多云,冬季,是,情人节限定
2025-02-14,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,218,0.1,3532,58,阴,冬季,是,情人节限定
2025-02-14,深圳,SZ-001,芝芝葡萄,鲜果茶,20,305,0.1,5490,65,晴,冬季,是,情人节限定
2025-02-14,成都,CD-001,桃桃乌龙,鲜果茶,18,378,0.1,6084,73,多云,冬季,是,情人节限定
2025-02-14,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,289,0.1,4162,77,小雨,冬季,是,情人节限定
2025-02-14,武汉,WH-001,桂花弄,原叶鲜奶茶,16,252,0.1,3629,68,阴,冬季,是,情人节限定
2025-02-14,南京,NJ-001,青柑普洱,现萃茶,15,208,0.1,2808,60,晴,冬季,是,情人节限定
2025-02-14,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,334,0.1,4810,72,晴,冬季,是,情人节限定
2025-02-14,重庆,CQ-001,满杯橙意,鲜果茶,18,295,0.1,4769,66,小雨,冬季,是,情人节限定
2025-02-14,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,389,0.1,6302,71,晴,冬季,是,情人节限定
2025-02-14,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,195,0.1,2808,73,多云,冬季,是,情人节限定
2025-02-14,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,223,0.1,4014,58,阴,冬季,是,情人节限定
2025-02-14,天津,TJ-001,桃桃乌龙,鲜果茶,18,205,0.1,3321,65,晴,冬季,是,情人节限定
2025-02-14,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,185,0.1,2664,72,多云,冬季,是,情人节限定
2025-03-08,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,308,0,4928,74,晴,春季,是,三八女神节
2025-03-08,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,342,0,5472,69,多云,春季,是,三八女神节
2025-03-08,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,215,0,3870,57,晴,春季,是,三八女神节
2025-03-08,深圳,SZ-001,芝芝葡萄,鲜果茶,20,296,0,5920,64,晴,春季,是,三八女神节
2025-03-08,成都,CD-001,桃桃乌龙,鲜果茶,18,368,0,6624,72,多云,春季,是,三八女神节
2025-03-08,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,278,0,4448,76,小雨,春季,是,三八女神节
2025-03-08,武汉,WH-001,桂花弄,原叶鲜奶茶,16,242,0,3872,67,阴,春季,是,三八女神节
2025-03-08,南京,NJ-001,青柑普洱,现萃茶,15,202,0,3030,60,晴,春季,是,三八女神节
2025-03-08,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,322,0,5152,71,多云,春季,是,三八女神节
2025-03-08,重庆,CQ-001,满杯橙意,鲜果茶,18,282,0,5076,66,晴,春季,是,三八女神节
2025-03-08,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,378,0,6804,70,多云,春季,是,三八女神节
2025-03-08,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,185,0,2960,72,阴,春季,是,三八女神节
2025-03-08,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,212,0,4240,57,晴,春季,是,三八女神节
2025-03-08,天津,TJ-001,桃桃乌龙,鲜果茶,18,198,0,3564,64,多云,春季,是,三八女神节
2025-03-08,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,175,0,2800,71,晴,春季,是,三八女神节
2025-05-01,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,358,0.1,5155,77,晴,春季,是,五一劳动节
2025-05-01,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,385,0.1,5544,71,多云,春季,是,五一劳动节
2025-05-01,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,248,0.1,4017,58,晴,春季,是,五一劳动节
2025-05-01,深圳,SZ-001,芝芝葡萄,鲜果茶,20,328,0.1,5904,65,晴,春季,是,五一劳动节
2025-05-01,成都,CD-001,桃桃乌龙,鲜果茶,18,412,0.1,6674,73,多云,春季,是,五一劳动节
2025-05-01,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,322,0.1,4637,77,晴,春季,是,五一劳动节
2025-05-01,武汉,WH-001,桂花弄,原叶鲜奶茶,16,275,0.1,3960,68,多云,春季,是,五一劳动节
2025-05-01,南京,NJ-001,青柑普洱,现萃茶,15,238,0.1,3213,61,晴,春季,是,五一劳动节
2025-05-01,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,352,0.1,5069,72,晴,春季,是,五一劳动节
2025-05-01,重庆,CQ-001,满杯橙意,鲜果茶,18,318,0.1,5152,67,晴,春季,是,五一劳动节
2025-05-01,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,425,0.1,6885,71,多云,春季,是,五一劳动节
2025-05-01,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,218,0.1,3139,73,晴,春季,是,五一劳动节
2025-05-01,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,248,0.1,4464,58,多云,春季,是,五一劳动节
2025-05-01,天津,TJ-001,桃桃乌龙,鲜果茶,18,228,0.1,3694,65,晴,春季,是,五一劳动节
2025-05-01,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,202,0.1,2909,72,晴,春季,是,五一劳动节
2025-07-20,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,345,0,5520,74,高温,夏季,否,
2025-07-20,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,378,0,6048,69,高温,夏季,否,
2025-07-20,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,242,0,4356,58,雷阵雨,夏季,否,
2025-07-20,深圳,SZ-001,芝芝葡萄,鲜果茶,20,318,0,6360,64,高温,夏季,否,
2025-07-20,成都,CD-001,桃桃乌龙,鲜果茶,18,402,0,7236,73,多云,夏季,否,
2025-07-20,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,308,0,4928,76,高温,夏季,否,
2025-07-20,武汉,WH-001,桂花弄,原叶鲜奶茶,16,265,0,4240,67,高温,夏季,否,
2025-07-20,南京,NJ-001,青柑普洱,现萃茶,15,228,0,3420,60,晴,夏季,否,
2025-07-20,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,342,0,5472,71,高温,夏季,否,
2025-07-20,重庆,CQ-001,满杯橙意,鲜果茶,18,305,0,5490,66,高温,夏季,否,
2025-07-20,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,412,0,7416,70,多云,夏季,否,
2025-07-20,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,218,0,3488,72,晴,夏季,否,
